timestamp,temperature,humidity
2018-09-22 14:37:25,29,9
2018-09-22 14:37:26,38,70
2018-09-22 14:37:27,18,22
2018-09-22 14:37:28,13,82
2018-09-22 14:37:29,35,46
2018-09-22 14:37:30,25,51
2018-09-22 14:37:31,23,97
2018-09-22 14:37:32,21,46
2018-09-22 14:37:33,12,12
2018-09-22 14:37:34,15,32
2018-09-22 14:37:35,9,56
2018-09-22 14:37:36,39,30
2018-09-22 14:37:37,13,86
2018-09-22 14:37:38,47,45
2018-09-22 14:37:39,23,99
2018-09-22 14:37:40,9,89
2018-09-22 14:37:41,42,1
2018-09-22 14:37:42,43,88
2018-09-22 14:37:43,13,94
2018-09-22 14:37:44,31,48
2018-09-22 14:37:45,15,26
2018-09-22 14:37:46,13,65
2018-09-22 14:37:47,5,53
2018-09-22 14:37:48,14,54
2018-09-22 14:37:49,41,76
2018-09-22 14:37:50,10,48
2018-09-22 14:37:51,10,98
2018-09-22 14:37:52,24,63
2018-09-22 14:37:53,19,67
2018-09-22 14:37:54,1,74
2018-09-22 14:37:55,37,40
