timestamp,temperature,humidity
2018-09-22 14:44:18,29,9
2018-09-22 14:44:19,38,70
2018-09-22 14:44:20,18,22
2018-09-22 14:44:21,13,82
2018-09-22 14:44:22,35,46
2018-09-22 14:44:23,25,51
2018-09-22 14:44:24,23,97
2018-09-22 14:44:25,21,46
2018-09-22 14:44:26,12,12
2018-09-22 14:44:27,15,32
2018-09-22 14:44:28,9,56
2018-09-22 14:44:29,39,30
2018-09-22 14:44:30,13,86
2018-09-22 14:44:31,47,45
2018-09-22 14:44:32,23,99
2018-09-22 14:44:33,9,89
2018-09-22 14:44:34,42,1
2018-09-22 14:44:35,43,88
2018-09-22 14:44:36,13,94
2018-09-22 14:44:37,31,48
2018-09-22 14:44:38,15,26
2018-09-22 14:44:39,13,65
2018-09-22 14:44:40,5,53
2018-09-22 14:44:41,14,54
2018-09-22 14:44:42,41,76
2018-09-22 14:44:43,10,48
2018-09-22 14:44:44,10,98
2018-09-22 14:44:45,24,63
2018-09-22 14:44:46,19,67
2018-09-22 14:44:47,1,74
2018-09-22 14:44:48,37,40
