timestamp,temperature,humidity
2018-09-22 17:58:55,29,9
2018-09-22 17:58:56,38,70
2018-09-22 17:58:57,18,22
2018-09-22 17:58:58,13,82
2018-09-22 17:58:59,35,46
2018-09-22 17:59:00,25,51
2018-09-22 17:59:01,23,97
2018-09-22 17:59:02,21,46
2018-09-22 17:59:03,12,12
2018-09-22 17:59:04,15,32
2018-09-22 17:59:05,9,56
2018-09-22 17:59:06,39,30
2018-09-22 17:59:07,13,86
2018-09-22 17:59:08,47,45
2018-09-22 17:59:09,23,99
2018-09-22 17:59:10,9,89
2018-09-22 17:59:11,42,1
2018-09-22 17:59:12,43,88
2018-09-22 17:59:13,13,94
2018-09-22 17:59:14,31,48
2018-09-22 17:59:15,15,26
2018-09-22 17:59:16,13,65
2018-09-22 17:59:17,5,53
2018-09-22 17:59:18,14,54
2018-09-22 17:59:19,41,76
2018-09-22 17:59:20,10,48
2018-09-22 17:59:21,10,98
2018-09-22 17:59:22,24,63
2018-09-22 17:59:23,19,67
2018-09-22 17:59:24,1,74
2018-09-22 17:59:25,37,40
