timestamp,temperature,humidity
2018-09-22 17:49:49,29,9
2018-09-22 17:49:50,38,70
2018-09-22 17:49:51,18,22
2018-09-22 17:49:52,13,82
2018-09-22 17:49:53,35,46
2018-09-22 17:49:54,25,51
2018-09-22 17:49:55,23,97
2018-09-22 17:49:56,21,46
2018-09-22 17:49:57,12,12
2018-09-22 17:49:58,15,32
2018-09-22 17:49:59,9,56
2018-09-22 17:50:00,39,30
2018-09-22 17:50:01,13,86
2018-09-22 17:50:02,47,45
2018-09-22 17:50:03,23,99
2018-09-22 17:50:04,9,89
2018-09-22 17:50:05,42,1
2018-09-22 17:50:06,43,88
2018-09-22 17:50:07,13,94
2018-09-22 17:50:08,31,48
2018-09-22 17:50:09,15,26
2018-09-22 17:50:10,13,65
2018-09-22 17:50:11,5,53
2018-09-22 17:50:12,14,54
2018-09-22 17:50:13,41,76
2018-09-22 17:50:14,10,48
2018-09-22 17:50:15,10,98
2018-09-22 17:50:16,24,63
2018-09-22 17:50:17,19,67
2018-09-22 17:50:18,1,74
2018-09-22 17:50:19,37,40
