timestamp,temperature,humidity
2018-09-22 14:36:25,29,9
2018-09-22 14:36:26,38,70
2018-09-22 14:36:27,18,22
2018-09-22 14:36:28,13,82
2018-09-22 14:36:29,35,46
2018-09-22 14:36:30,25,51
2018-09-22 14:36:31,23,97
2018-09-22 14:36:32,21,46
2018-09-22 14:36:33,12,12
2018-09-22 14:36:34,15,32
2018-09-22 14:36:35,9,56
2018-09-22 14:36:36,39,30
2018-09-22 14:36:37,13,86
2018-09-22 14:36:38,47,45
2018-09-22 14:36:39,23,99
2018-09-22 14:36:40,9,89
2018-09-22 14:36:41,42,1
2018-09-22 14:36:42,43,88
2018-09-22 14:36:43,13,94
2018-09-22 14:36:44,31,48
2018-09-22 14:36:45,15,26
2018-09-22 14:36:46,13,65
2018-09-22 14:36:47,5,53
2018-09-22 14:36:48,14,54
2018-09-22 14:36:49,41,76
2018-09-22 14:36:50,10,48
2018-09-22 14:36:51,10,98
2018-09-22 14:36:52,24,63
2018-09-22 14:36:53,19,67
2018-09-22 14:36:54,1,74
2018-09-22 14:36:55,37,40
